orid,area,sub,type,spotlight,n_claims,max_pts,title,authors,arxiv,openreview,alphaxiv,hf
GEKbKCTzuV,Deep Learning,Large Language Models,Poster,False,6,12,An Information-Theoretic Criterion for Efficient Data Synthesis,Hanyu Li; Zhengqi Sun; Xiaotie Deng,2605.16379,https://openreview.net/forum?id=GEKbKCTzuV,2605.16379,
ODukwbfUeD,Applications,Computer Vision,Poster,False,2,4,CodeMamba: Shifting from Target Semantics to Self-Supervised Background Manifold Learning for Singularity Detection in Infrared Sequences,Jingwen Ma; Xinpeng Zhang; Fan Shi; Xu Cheng; Shengyong Chen,,https://openreview.net/forum?id=ODukwbfUeD,,
0AdFs0O8xv,Theory,Everything Else,Poster,False,2,4,Faithful Relational Reasoning with Region-based Embeddings: Expressivity of Convex Coordinate-wise Models,Victor Charpenay; Steven Schockaert,,https://openreview.net/forum?id=0AdFs0O8xv,,
wmROqgop27,Deep Learning,Large Language Models,Poster,False,6,12,Predicting the Order of Upcoming Tokens Improves Language Modeling,Zayd Muhammad Kawakibi Zuhri; Erland Hilman Fuadi; Alham Fikri Aji,2508.19228,https://openreview.net/forum?id=wmROqgop27,2508.19228,2508.19228
GkL3dANi6M,Social Aspects,Safety,Poster,False,5,10,Constitutional Black-Box Monitoring for Scheming in LLM Agents,Simon Storf; Rich Barton-Cooper; James Peters-Gill; Marius Hobbhahn,2603.00829,https://openreview.net/forum?id=GkL3dANi6M,2603.00829,
RdkOaK4q6p,Reinforcement Learning,Deep Rl,Poster,False,3,6,Direct Flow Q-Learning,Shicheng Cao; Jingrui Jia; Wenyu Li; Feng Duan; Tao Zhang; Shengbo Eben Li,,https://openreview.net/forum?id=RdkOaK4q6p,,
CklwnmcPYx,Deep Learning,Large Language Models,Poster,False,5,10,Escaping Mode Collapse in LLM Generation via Geometric Regulation,Xin Du; Kumiko Tanaka-Ishii,2605.00435,https://openreview.net/forum?id=CklwnmcPYx,2605.00435,
cQRkHJGgj1,Deep Learning,Robustness,Poster,False,6,12,Calibrating Uncertainty for Zero-Shot Adversarial CLIP,Wenjing Lu; Zerui Tao; Yuning Qiu; Dongping Zhang; Yang Yang; Qibin Zhao,2512.12997,https://openreview.net/forum?id=cQRkHJGgj1,2512.12997,
UdpIy1ndTX,Applications,Computer Vision,Poster,False,5,10,OBJVanish: Prompt-Driven Generation of Physically Realizable 3D LiDAR-Invisible Objects,Bing Li; Wuqi Wang; Yanan Zhang; Jingzheng Li; Haigen Min; Wei Feng; Xingyu Zhao; Jie Zhang; Qing Guo,2510.06952,https://openreview.net/forum?id=UdpIy1ndTX,2510.06952,
boZd8pG5E2,Deep Learning,Generative Models And Autoencoders,Poster,False,6,12,Pose-ICL: 3D-Aware In-Context Learning for Pose-Controllable Subject Customization,Xuan Han; Yihao Zhao; Mingyu You,2606.10902,https://openreview.net/forum?id=boZd8pG5E2,2606.10902,
hEvt3HWxD3,Deep Learning,Foundation Models,Poster,False,6,12,DTop-p MoE: Sparsity-Controlled Dynamic Top-p MoE for Foundation Model Pre-training,Can Jin; Hongwu Peng; Mingcan Xiang; Qixin Zhang; Xiangchi Yuan; Amit Hasan; Ohi Dibua; Yifan Gong; Yan Kang; Dimitris N. Metaxas,2512.13996,https://openreview.net/forum?id=hEvt3HWxD3,2512.13996,
